Batter,Opposing Pitcher,Opposing Team,Batter Location,Batter Spot,AB,H,2B,3B,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Kyle Schwarber,Bowden Francis,Blue Jays,Away,1,0,0,0,0,0,0,0,0,0,0,0,0
Trea Turner,Bowden Francis,Blue Jays,Away,2,1,0,0,0,0,0,0,0,.000,.000,.000,.000
Bryce Harper,Bowden Francis,Blue Jays,Away,3,1,1,0,0,1,1,0,0,1.000,1.000,4.000,5.000
Nick Castellanos,Bowden Francis,Blue Jays,Away,4,1,0,0,0,0,0,0,0,.000,.000,.000,.000
Bryson Stott,Bowden Francis,Blue Jays,Away,5,1,0,0,0,0,0,0,0,.000,.000,.000,.000
JT Realmuto,Bowden Francis,Blue Jays,Away,6,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Marsh,Bowden Francis,Blue Jays,Away,7,0,0,0,0,0,0,0,0,0,0,0,0
Austin Hays,Bowden Francis,Blue Jays,Away,8,4,1,1,0,0,0,0,1,.250,.400,.500,.900
Edmundo Sosa,Bowden Francis,Blue Jays,Away,9,0,0,0,0,0,0,0,0,0,0,0,0
George Springer,Cristopher Sanchez,Phillies,Home,1,3,1,0,0,0,0,0,0,.333,.333,.333,.667
Daulton Varsho,Cristopher Sanchez,Phillies,Home,2,0,0,0,0,0,0,0,0,0,0,0,0
Vladimir Guerrero Jr,Cristopher Sanchez,Phillies,Home,3,2,0,0,0,0,0,1,0,.000,.333,.000,.333
Alejandro Kirk,Cristopher Sanchez,Phillies,Home,4,3,1,1,0,0,0,0,1,.333,.333,.667,1.000
Ernie Clement,Cristopher Sanchez,Phillies,Home,5,0,0,0,0,0,0,0,0,0,0,0,0
Leo Jimenez,Cristopher Sanchez,Phillies,Home,6,0,0,0,0,0,0,0,0,0,0,0,0
Davis Schneider,Cristopher Sanchez,Phillies,Home,7,3,0,0,0,0,0,0,1,.000,.000,.000,.000
Luis De Los Santos,Cristopher Sanchez,Phillies,Home,8,0,0,0,0,0,0,0,0,0,0,0,0
Brian Serven,Cristopher Sanchez,Phillies,Home,9,0,0,0,0,0,0,0,0,0,0,0,0
Nicky Lopez,Albert Suarez,Orioles,Away,1,0,0,0,0,0,0,1,0,.000,1.000,.000,1.000
Luis Robert Jr,Albert Suarez,Orioles,Away,2,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Benintendi,Albert Suarez,Orioles,Away,3,1,0,0,0,0,0,0,0,.000,.000,.000,.000
Andrew Vaughn,Albert Suarez,Orioles,Away,4,2,0,0,0,0,0,0,1,.000,.000,.000,.000
Gavin Sheets,Albert Suarez,Orioles,Away,5,2,0,0,0,0,0,0,1,.000,.000,.000,.000
Korey Lee,Albert Suarez,Orioles,Away,6,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Fletcher,Albert Suarez,Orioles,Away,7,0,0,0,0,0,0,0,0,0,0,0,0
Lenyn Sosa,Albert Suarez,Orioles,Away,8,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Amaya,Albert Suarez,Orioles,Away,9,0,0,0,0,0,0,0,0,0,0,0,0
Gunnar Henderson,Jonathan Cannon,White Sox,Home,1,0,0,0,0,0,0,0,0,0,0,0,0
Adley Rutschman,Jonathan Cannon,White Sox,Home,2,0,0,0,0,0,0,0,0,0,0,0,0
Ryan O'Hearn,Jonathan Cannon,White Sox,Home,3,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Santander,Jonathan Cannon,White Sox,Home,4,0,0,0,0,0,0,0,0,0,0,0,0
Colton Cowser,Jonathan Cannon,White Sox,Home,5,0,0,0,0,0,0,0,0,0,0,0,0
Eloy Jimenez,Jonathan Cannon,White Sox,Home,6,0,0,0,0,0,0,0,0,0,0,0,0
Cedric Mullins,Jonathan Cannon,White Sox,Home,7,0,0,0,0,0,0,0,0,0,0,0,0
Jackson Holliday,Jonathan Cannon,White Sox,Home,8,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Rivera,Jonathan Cannon,White Sox,Home,9,0,0,0,0,0,0,0,0,0,0,0,0
Jose Altuve,Nick Martinez,Reds,Away,1,27,6,3,0,1,2,0,0,.222,.250,.444,.694
Yordan Alvarez,Nick Martinez,Reds,Away,2,0,0,0,0,0,0,0,0,0,0,0,0
Alex Bregman,Nick Martinez,Reds,Away,3,12,4,0,0,0,1,0,1,.333,.333,.333,.667
Yainer Diaz,Nick Martinez,Reds,Away,4,0,0,0,0,0,0,0,0,0,0,0,0
Jon Singleton,Nick Martinez,Reds,Away,5,6,0,0,0,0,0,1,3,.000,.143,.000,.143
Jeremy Pena,Nick Martinez,Reds,Away,6,0,0,0,0,0,0,0,0,0,0,0,0
Ben Gamel,Nick Martinez,Reds,Away,7,4,0,0,0,0,0,0,0,.000,.000,.000,.000
Mauricio Dubon,Nick Martinez,Reds,Away,8,2,1,0,0,0,1,0,0,.500,.333,.500,.833
Jason Heyward,Nick Martinez,Reds,Away,9,5,1,0,0,0,1,0,2,.200,.200,.200,.400
Jonathan India,Spencer Arrighetti,Astros,Home,1,0,0,0,0,0,0,0,0,0,0,0,0
Elly De La Cruz,Spencer Arrighetti,Astros,Home,2,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Stephenson,Spencer Arrighetti,Astros,Home,3,0,0,0,0,0,0,0,0,0,0,0,0
TJ Friedl,Spencer Arrighetti,Astros,Home,4,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Steer,Spencer Arrighetti,Astros,Home,5,0,0,0,0,0,0,0,0,0,0,0,0
Ty France,Spencer Arrighetti,Astros,Home,6,3,1,0,0,0,0,0,2,.333,.333,.333,.667
Jake Fraley,Spencer Arrighetti,Astros,Home,7,0,0,0,0,0,0,0,0,0,0,0,0
Santiago Espinal,Spencer Arrighetti,Astros,Home,8,0,0,0,0,0,0,0,0,0,0,0,0
Amed Rosario,Spencer Arrighetti,Astros,Home,9,0,0,0,0,0,0,0,0,0,0,0,0
Dylan Crews,Valente Bellozo,Marlins,Away,1,0,0,0,0,0,0,0,0,0,0,0,0
Jose Tena,Valente Bellozo,Marlins,Away,2,0,0,0,0,0,0,0,0,0,0,0,0
Andres Chaparro,Valente Bellozo,Marlins,Away,3,0,0,0,0,0,0,0,0,0,0,0,0
James Wood,Valente Bellozo,Marlins,Away,4,0,0,0,0,0,0,0,0,0,0,0,0
Luis Garcia Jr,Valente Bellozo,Marlins,Away,5,0,0,0,0,0,0,0,0,0,0,0,0
