Batter,Batter Spot,Batter Pitcher Matchup H/PA,P Pitching Outs,Batter Team Matchup H/PA,T Pitching Outs
Kyle Schwarber,1,0.19,5.5,0.22,3.5
Trea Turner,2,0.23,5.5,0.24,3.5
Bryce Harper,3,0.23,5.5,0.24,3.5
Nick Castellanos,4,0.22,5.5,0.24,3.5
Bryson Stott,5,0.22,5.5,0.21,3.5
JT Realmuto,6,0.24,5.5,0.23,3.5
Brandon Marsh,7,0.21,5.5,0.21,3.5
Austin Hays,8,0.22,5.5,0.24,3.5
Edmundo Sosa,9,0.22,5.5,0.22,3.5
George Springer,1,0.23,6.17,0.23,2.83
Daulton Varsho,2,0.26,6.17,0.23,2.83
Vladimir Guerrero Jr,3,0.29,6.17,0.29,2.83
Alejandro Kirk,4,0.25,6.17,0.23,2.83
Ernie Clement,5,0.26,6.17,0.24,2.83
Leo Jimenez,6,0.26,6.17,0.23,2.83
Davis Schneider,7,0.22,6.17,0.21,2.83
Luis De Los Santos,8,0.38,6.17,0.35,2.83
Brian Serven,9,0.2,6.17,0.2,2.83
Nicky Lopez,1,0.22,5.83,0.24,3.17
Luis Robert Jr,2,0.2,5.83,0.22,3.17
Andrew Benintendi,3,0.2,5.83,0.2,3.17
Andrew Vaughn,4,0.19,5.83,0.22,3.17
Gavin Sheets,5,0.22,5.83,0.23,3.17
Korey Lee,6,0.21,5.83,0.22,3.17
Dominic Fletcher,7,0.2,5.83,0.2,3.17
Lenyn Sosa,8,0.21,5.83,0.24,3.17
Jacob Amaya,9,0.22,5.83,0.3,3.17
Gunnar Henderson,1,0.22,5.5,0.22,3.5
Adley Rutschman,2,0.22,5.5,0.23,3.5
Ryan O'Hearn,3,0.22,5.5,0.24,3.5
Anthony Santander,4,0.22,5.5,0.23,3.5
Colton Cowser,5,0.22,5.5,0.22,3.5
Eloy Jimenez,6,0.22,5.5,0.23,3.5
Cedric Mullins,7,0.22,5.5,0.23,3.5
Jackson Holliday,8,0.2,5.5,0.2,3.5
Emmanuel Rivera,9,0.2,5.5,0.21,3.5
Jose Altuve,1,0.24,,0.23,
Yordan Alvarez,2,0.27,,0.27,
Alex Bregman,3,0.26,,0.25,
Yainer Diaz,4,0.27,,0.26,
