Batter,Batter Spot,Batter Pitcher xH,Batter Team xH,Batter xH
Kyle Schwarber,1,0.54,0.4,0.94
Trea Turner,2,0.64,0.42,1.06
Bryce Harper,3,0.62,0.41,1.04
Nick Castellanos,4,0.58,0.4,0.99
Bryson Stott,5,0.57,0.35,0.92
JT Realmuto,6,0.61,0.37,0.98
Brandon Marsh,7,0.51,0.33,0.84
Austin Hays,8,0.52,0.36,0.89
Edmundo Sosa,9,0.51,0.32,0.83
George Springer,1,0.73,0.34,1.07
Daulton Varsho,2,0.81,0.33,1.14
Vladimir Guerrero Jr,3,0.88,0.4,1.28
Alejandro Kirk,4,0.74,0.31,1.06
Ernie Clement,5,0.76,0.32,1.08
Leo Jimenez,6,0.74,0.3,1.03
Davis Schneider,7,0.6,0.26,0.87
Luis De Los Santos,8,1.02,0.43,1.45
Brian Serven,9,0.52,0.24,0.75
Nicky Lopez,1,0.66,0.39,1.06
Luis Robert Jr,2,0.59,0.35,0.94
Andrew Benintendi,3,0.57,0.31,0.89
Andrew Vaughn,4,0.53,0.34,0.87
Gavin Sheets,5,0.6,0.34,0.95
Korey Lee,6,0.56,0.32,0.88
Dominic Fletcher,7,0.52,0.28,0.8
Lenyn Sosa,8,0.53,0.33,0.86
Jacob Amaya,9,0.54,0.4,0.94
Gunnar Henderson,1,0.63,0.4,1.02
Adley Rutschman,2,0.61,0.41,1.02
Ryan O'Hearn,3,0.6,0.41,1.01
Anthony Santander,4,0.58,0.39,0.97
Colton Cowser,5,0.57,0.36,0.93
Eloy Jimenez,6,0.56,0.37,0.92
Cedric Mullins,7,0.54,0.36,0.9
Jackson Holliday,8,0.48,0.3,0.78
Emmanuel Rivera,9,0.46,0.31,0.77
Jose Altuve,1,nan,nan,nan
Yordan Alvarez,2,nan,nan,nan
Alex Bregman,3,nan,nan,nan
Yainer Diaz,4,nan,nan,nan
Jon Singleton,5,nan,nan,nan
Jeremy Pena,6,nan,nan,nan
Ben Gamel,7,nan,nan,nan
Mauricio Dubon,8,nan,nan,nan
Jason Heyward,9,nan,nan,nan
Jonathan India,1,0.66,0.34,1.01
Elly De La Cruz,2,0.68,0.34,1.01
Tyler Stephenson,3,0.69,0.34,1.03
TJ Friedl,4,0.53,0.27,0.81
Spencer Steer,5,0.58,0.28,0.86
Ty France,6,0.59,0.33,0.92
Jake Fraley,7,0.55,0.3,0.84
Santiago Espinal,8,0.63,0.32,0.95
Amed Rosario,9,0.59,0.29,0.88
Dylan Crews,1,0.61,0.44,1.05
Jose Tena,2,0.68,0.46,1.14
Andres Chaparro,3,0.61,0.43,1.04
James Wood,4,0.57,0.42,1.0
Luis Garcia Jr,5,0.61,0.42,1.02
Joey Gallo,6,0.47,0.32,0.79
CJ Abrams,7,0.51,0.36,0.87
Keibert Ruiz,8,0.52,0.37,0.88
Jacob Young,9,0.58,0.43,1.02
Xavier Edwards,1,0.84,0.41,1.25
Connor Norby,2,0.85,0.42,1.27
Jake Burger,3,0.72,0.36,1.08
Jonah Bride,4,0.7,0.35,1.05
Otto Lopez,5,0.69,0.36,1.05
Cristian Pache,6,0.64,0.32,0.96
David Hensley,7,0.73,0.37,1.09
Kyle Stowers,8,0.61,0.32,0.92
Nick Fortes,9,0.59,0.29,0.88
Jarren Duran,1,0.71,0.45,1.16
Wilyer Abreu,2,0.61,0.39,1.0
Tyler O'Neill,3,0.54,0.36,0.9
Rafael Devers,4,0.61,0.35,0.96
Triston Casas,5,0.54,0.33,0.87
Masataka Yoshida,6,0.58,0.35,0.93
Connor Wong,7,0.56,0.36,0.92
Enmanuel Valdez,8,0.48,0.27,0.75
Ceddanne Rafaela,9,0.53,0.32,0.85
Francisco Lindor,1,0.75,0.41,1.16
Brandon Nimmo,2,0.59,0.3,0.89
Mark Vientos,3,0.69,0.37,1.06
Pete Alonso,4,0.62,0.32,0.94
Jesse Winker,5,0.66,0.31,0.97
Starling Marte,6,0.62,0.35,0.96
Jose Iglesias,7,0.62,0.32,0.95
Jeff McNeil,8,0.53,0.3,0.83
Francisco Alvarez,9,0.54,0.27,0.8
Charlie Blackmon,1,0.6,0.33,0.93
Ezequiel Tovar,2,0.71,0.35,1.06
Ryan McMahon,3,0.63,0.33,0.96
Brenton Doyle,4,0.67,0.34,1.01
Brendan Rodgers,5,0.69,0.37,1.06
Michael Toglia,6,0.51,0.28,0.78
Nolan Jones,7,0.52,0.28,0.8
Jordan Beck,8,0.51,0.25,0.75
Drew Romo,9,0.51,0.25,0.77
Michael Harris II,1,nan,nan,nan
Jorge Soler,2,nan,nan,nan
Marcell Ozuna,3,nan,nan,nan
