Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,B Against PA,B Against H,Season PA,Season H,Location IP,Location H,Location BB,Right PA,Right H,Left PA,Left H,Recent IP,Recent H,Recent BB
Kyle Schwarber,Bowden Francis,Right,Away,1,0,0,311.0,59,28.2,24,8,163.0,34,148.0,25,14.0,14,2
Trea Turner,Bowden Francis,Right,Away,2,1,0,311.0,59,28.2,24,8,163.0,34,148.0,25,14.0,14,2
Bryce Harper,Bowden Francis,Right,Away,3,1,1,311.0,59,28.2,24,8,163.0,34,148.0,25,14.0,14,2
Nick Castellanos,Bowden Francis,Right,Away,4,1,0,311.0,59,28.2,24,8,163.0,34,148.0,25,14.0,14,2
Bryson Stott,Bowden Francis,Right,Away,5,1,0,311.0,59,28.2,24,8,163.0,34,148.0,25,14.0,14,2
JT Realmuto,Bowden Francis,Right,Away,6,0,0,311.0,59,28.2,24,8,163.0,34,148.0,25,14.0,14,2
Brandon Marsh,Bowden Francis,Right,Away,7,0,0,311.0,59,28.2,24,8,163.0,34,148.0,25,14.0,14,2
Austin Hays,Bowden Francis,Right,Away,8,4,1,311.0,59,28.2,24,8,163.0,34,148.0,25,14.0,14,2
Edmundo Sosa,Bowden Francis,Right,Away,9,0,0,311.0,59,28.2,24,8,163.0,34,148.0,25,14.0,14,2
George Springer,Cristopher Sanchez,Left,Home,1,3,1,629.0,158,59.2,83,22,495.0,127,134.0,31,11.2,15,2
Daulton Varsho,Cristopher Sanchez,Left,Home,2,0,0,629.0,158,59.2,83,22,495.0,127,134.0,31,11.2,15,2
Vladimir Guerrero Jr,Cristopher Sanchez,Left,Home,3,3,0,629.0,158,59.2,83,22,495.0,127,134.0,31,11.2,15,2
Alejandro Kirk,Cristopher Sanchez,Left,Home,4,3,1,629.0,158,59.2,83,22,495.0,127,134.0,31,11.2,15,2
Ernie Clement,Cristopher Sanchez,Left,Home,5,0,0,629.0,158,59.2,83,22,495.0,127,134.0,31,11.2,15,2
Leo Jimenez,Cristopher Sanchez,Left,Home,6,0,0,629.0,158,59.2,83,22,495.0,127,134.0,31,11.2,15,2
Davis Schneider,Cristopher Sanchez,Left,Home,7,3,0,629.0,158,59.2,83,22,495.0,127,134.0,31,11.2,15,2
Luis De Los Santos,Cristopher Sanchez,Left,Home,8,0,0,629.0,158,59.2,83,22,495.0,127,134.0,31,11.2,15,2
Brian Serven,Cristopher Sanchez,Left,Home,9,0,0,629.0,158,59.2,83,22,495.0,127,134.0,31,11.2,15,2
Nicky Lopez,Albert Suarez,Right,Away,1,1,0,450.0,103,51.1,46,13,253.0,57,197.0,46,3.1,2,0
Luis Robert Jr,Albert Suarez,Right,Away,2,0,0,450.0,103,51.1,46,13,253.0,57,197.0,46,3.1,2,0
Andrew Benintendi,Albert Suarez,Right,Away,3,1,0,450.0,103,51.1,46,13,253.0,57,197.0,46,3.1,2,0
Andrew Vaughn,Albert Suarez,Right,Away,4,2,0,450.0,103,51.1,46,13,253.0,57,197.0,46,3.1,2,0
Gavin Sheets,Albert Suarez,Right,Away,5,2,0,450.0,103,51.1,46,13,253.0,57,197.0,46,3.1,2,0
Korey Lee,Albert Suarez,Right,Away,6,0,0,450.0,103,51.1,46,13,253.0,57,197.0,46,3.1,2,0
Dominic Fletcher,Albert Suarez,Right,Away,7,0,0,450.0,103,51.1,46,13,253.0,57,197.0,46,3.1,2,0
Lenyn Sosa,Albert Suarez,Right,Away,8,0,0,450.0,103,51.1,46,13,253.0,57,197.0,46,3.1,2,0
Jacob Amaya,Albert Suarez,Right,Away,9,0,0,450.0,103,51.1,46,13,253.0,57,197.0,46,3.1,2,0
Gunnar Henderson,Jonathan Cannon,Right,Home,1,0,0,410.0,103,41.2,53,11,202.0,48,208.0,55,5.2,3,1
Adley Rutschman,Jonathan Cannon,Right,Home,2,0,0,410.0,103,41.2,53,11,202.0,48,208.0,55,5.2,3,1
Ryan O'Hearn,Jonathan Cannon,Right,Home,3,0,0,410.0,103,41.2,53,11,202.0,48,208.0,55,5.2,3,1
Anthony Santander,Jonathan Cannon,Right,Home,4,0,0,410.0,103,41.2,53,11,202.0,48,208.0,55,5.2,3,1
Colton Cowser,Jonathan Cannon,Right,Home,5,0,0,410.0,103,41.2,53,11,202.0,48,208.0,55,5.2,3,1
