Batter,Opposing Team,Batter Location,Batter Spot,Against PA,Against H,T Recent PA,T Recent H,Opposing Pitcher,Throw,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H,B Recent H,B Recent PA
Kyle Schwarber,Blue Jays,Away,1,61,17,206,41,Bowden Francis,Right,Left,0,0,369.0,62,269.0,62,584.0,119,311.0,59,116,24,148.0,25,58,14,12.0,70.0
Trea Turner,Blue Jays,Away,2,66,18,206,41,Bowden Francis,Right,Right,1,0,295.0,82,219.0,55,436.0,123,311.0,59,116,24,163.0,34,58,14,14.0,66.0
Bryce Harper,Blue Jays,Away,3,71,22,206,41,Bowden Francis,Right,Left,1,1,341.0,83,250.0,58,535.0,132,311.0,59,116,24,148.0,25,58,14,17.0,65.0
Nick Castellanos,Blue Jays,Away,4,96,30,206,41,Bowden Francis,Right,Right,1,0,425.0,94,282.0,60,567.0,130,311.0,59,116,24,163.0,34,58,14,12.0,57.0
Bryson Stott,Blue Jays,Away,5,38,7,206,41,Bowden Francis,Right,Left,1,0,371.0,83,231.0,47,480.0,104,311.0,59,116,24,148.0,25,58,14,14.0,56.0
JT Realmuto,Blue Jays,Away,6,58,11,206,41,Bowden Francis,Right,Right,0,0,250.0,61,159.0,41,352.0,85,311.0,59,116,24,163.0,34,58,14,14.0,48.0
Brandon Marsh,Blue Jays,Away,7,33,7,206,41,Bowden Francis,Right,Left,0,0,326.0,74,182.0,34,399.0,87,311.0,59,116,24,148.0,25,58,14,11.0,55.0
Austin Hays,Blue Jays,Away,8,75,19,206,41,Bowden Francis,Right,Right,4,1,154.0,29,110.0,28,241.0,57,311.0,59,116,24,163.0,34,58,14,,
Edmundo Sosa,Blue Jays,Away,9,16,3,206,41,Bowden Francis,Right,Right,0,0,138.0,32,121.0,32,247.0,61,311.0,59,116,24,163.0,34,58,14,4.0,25.0
George Springer,Phillies,Home,1,63,20,237,62,Cristopher Sanchez,Left,Right,3,1,120.0,19,256.0,53,535.0,105,629.0,158,282,83,495.0,127,50,15,10.0,57.0
Daulton Varsho,Phillies,Home,2,44,9,237,62,Cristopher Sanchez,Left,Left,0,0,94.0,25,242.0,50,487.0,95,629.0,158,282,83,134.0,31,50,15,13.0,53.0
Vladimir Guerrero Jr,Phillies,Home,3,49,17,237,62,Cristopher Sanchez,Left,Right,3,0,111.0,31,281.0,88,596.0,174,629.0,158,282,83,495.0,127,50,15,22.0,64.0
