Name,Away,Away RA,Away NRFI,Away YRFI,Away ERA,Home,Home RA,Home NRFI,Home YRFI,Home ERA,Total NRFI,Total YRFI,Throw,Season ERA,L5 Streak,NRFI Streak,YRFI Streak
Patrick Sandoval,8,9.0,5,3,10.12,8,0.0,8,0,0.0,13,3,Left,5.08,4,1,0
Corbin Burnes,13,2.0,11,2,1.38,15,8.0,9,6,4.8,20,8,Right,3.19,2,0,2
Tarik Skubal,13,2.0,11,2,1.38,14,5.0,10,4,3.21,21,6,Left,2.51,4,0,1
Garrett Crochet,12,5.0,10,2,3.75,15,5.0,13,2,3.0,23,4,Left,3.61,4,3,0
Pablo Lopez,14,6.0,10,4,3.86,13,7.0,8,5,4.85,18,9,Right,4.26,3,3,0
Cole Ragans,13,4.0,11,2,2.77,15,4.0,11,4,2.4,22,6,Left,3.46,5,5,0
Nestor Cortes,14,14.0,7,7,9.0,14,1.0,13,1,0.64,20,8,Left,4.08,4,4,0
Framber Valdez,12,6.0,10,2,4.5,12,1.0,11,1,0.75,21,3,Left,3.27,5,9,0
Mitch Keller,15,7.0,11,4,4.2,12,4.0,9,3,3.0,20,7,Right,3.88,2,0,1
Jesus Luzardo,5,3.0,3,2,5.4,7,0.0,7,0,0.0,10,2,Left,5.00,3,0,1
Logan Webb,15,9.0,10,5,5.4,14,5.0,10,4,3.21,20,9,Right,3.43,4,2,0
Yu Darvish,3,0.0,3,0,0.0,7,1.0,6,1,1.29,9,1,Right,3.20,4,1,0
Miles Mikolas,15,5.0,13,2,3.0,13,6.0,10,3,4.15,23,5,Right,5.27,5,11,0
Tyler Glasnow,8,1.0,7,1,1.12,13,3.0,11,2,2.08,18,3,Right,3.54,5,5,0
Jose Berrios,15,9.0,9,6,5.4,13,0.0,13,0,0.0,22,6,Right,3.59,5,5,0
Zach Eflin,15,10.0,9,6,6.0,9,0.0,9,0,0.0,18,6,Right,3.60,5,5,0
Josiah Gray,1,0.0,1,0,0.0,1,4.0,0,1,36.0,1,1,Right,14.04,1,0,1
