Name,Away,Away RS,Away RA,Away NRFI,Away YRFI,Away NRSFI,Away YRSFI,Home,Home RS,Home RA,Home NRFI,Home YRFI,Home NRSFI,Home YRSFI,Total NRFI,Total YRFI,Total NRSFI,Total YRSFI,Intra NRFI,Intra YRFI,Intra NRSFI,Intra YRSFI,Righties NRSFI,Righties YRSFI,Lefties NRSFI,Lefties YRSFI,L10 Streak,NRSFI Streak,YRSFI Streak
Angels,67,19,42,40,27,54,13,71,30,45,36,35,55,16,76,62,109,29,21,17,31,7,90,20,19,9,7,1,0
Orioles,70,28,24,44,26,54,16,71,48,29,35,36,47,24,79,62,101,40,23,20,28,15,70,31,31,9,7,0,3
Tigers,70,27,27,37,33,48,22,69,32,40,32,37,51,18,69,70,99,40,19,27,28,18,81,32,18,8,9,9,0
White Sox,68,23,43,36,32,54,14,72,24,32,41,31,56,16,77,63,110,30,21,25,34,12,80,28,30,2,5,1,0
Twins,69,27,40,35,34,50,19,69,42,40,32,37,47,22,67,71,97,41,18,27,30,15,69,29,28,12,7,1,0
Royals,69,22,26,45,24,53,16,71,43,36,35,36,47,24,80,60,100,40,22,23,29,16,78,32,22,8,9,6,0
Yankees,71,51,41,28,43,43,28,68,47,23,36,32,43,25,64,75,86,53,21,24,31,14,57,42,29,11,8,7,0
Astros,70,25,54,37,33,51,19,68,42,30,36,32,47,21,73,65,98,40,22,17,30,9,70,30,28,10,8,5,0
Pirates,70,22,29,45,25,58,12,68,26,40,38,30,52,16,83,55,110,28,26,15,30,11,75,22,35,6,7,5,0
Marlins,68,32,44,34,34,53,15,70,46,44,32,38,53,17,66,72,106,32,20,20,33,7,68,22,38,10,9,8,0
Giants,69,26,43,38,31,54,15,70,30,34,40,30,50,20,78,61,104,35,18,23,29,12,74,23,30,12,5,0,2
Padres,69,44,40,33,36,47,22,69,31,36,35,34,52,17,68,70,99,39,17,21,25,13,65,30,34,9,6,2,0
Cardinals,71,26,42,42,29,57,14,69,40,30,41,28,52,17,83,57,109,31,32,12,37,7,76,25,33,6,8,0,1
Dodgers,69,40,39,33,36,46,23,68,47,28,32,36,40,28,65,72,86,51,19,22,26,15,53,38,33,13,7,3,0
Blue Jays,73,33,42,40,33,59,14,68,52,30,36,32,45,23,76,65,104,37,26,21,37,10,84,29,20,8,7,0,3
Rays,65,37,36,30,35,43,22,73,29,34,41,32,55,18,71,67,98,40,21,19,30,10,75,30,23,10,7,1,0
Nationals,69,19,36,41,28,59,10,69,31,26,43,26,53,16,84,54,112,26,26,13,33,6,80,17,32,9,7,3,0
Reds,66,32,42,33,33,47,19,73,28,26,45,28,55,18,78,61,102,37,28,15,33,10,72,28,30,9,7,0,1
Cubs,72,27,34,43,29,56,16,67,37,16,43,24,51,16,86,53,107,32,30,18,36,12,87,25,20,7,8,5,0
Rangers,69,35,39,29,40,44,25,70,32,26,40,30,52,18,69,70,96,43,15,20,21,14,74,29,22,14,7,2,0
Guardians,71,28,29,37,34,55,16,68,37,34,35,33,46,22,72,67,101,38,18,26,30,14,76,24,25,14,5,2,0
Athletics,69,35,48,32,37,52,17,70,29,37,36,34,51,19,68,71,103,36,22,19,31,10,80,29,23,7,5,0,1
Red Sox,70,33,33,34,36,49,21,70,45,30,33,37,45,25,67,73,94,46,19,18,25,12,66,35,28,11,6,3,0
Mariners,70,55,41,32,38,45,25,69,23,14,47,22,55,14,79,60,100,39,20,17,21,16,78,22,22,17,6,0,2
Rockies,70,26,56,37,33,55,15,69,43,38,29,40,47,22,66,73,102,37,18,25,33,10,67,29,35,8,7,6,0
Diamondbacks,69,49,36,34,35,45,24,70,52,22,38,32,44,26,72,67,89,50,16,25,21,20,55,34,34,16,7,0,1
Brewers,72,26,42,40,32,54,18,67,41,32,33,34,48,19,73,66,102,37,28,20,38,10,74,27,28,10,9,1,0
Mets,69,30,26,39,30,51,18,70,24,25,47,23,56,14,86,53,107,32,27,12,29,10,79,21,28,11,8,3,0
Braves,73,29,21,49,24,58,15,65,44,43,27,38,40,25,76,62,98,40,28,16,35,9,67,29,31,11,8,5,0
Phillies,66,39,28,34,32,42,24,72,48,25,37,35,47,25,71,67,89,49,21,17,27,11,57,30,32,19,9,0,1
