Player Name,B Recent H,B Recent PA
Lawrence Butler,22.0,62.0
Shohei Ohtani,17.0,63.0
Corbin Carroll,19.0,61.0
Dansby Swanson,15.0,66.0
Willy Adames,16.0,77.0
Francisco Lindor,21.0,64.0
Jackson Chourio,20.0,72.0
Mookie Betts,14.0,61.0
Eugenio Suarez,15.0,58.0
Aaron Judge,14.0,72.0
Jarren Duran,20.0,69.0
Pete Crow-Armstrong,17.0,60.0
Seiya Suzuki,20.0,77.0
Vladimir Guerrero Jr,22.0,64.0
Manny Machado,17.0,66.0
Brent Rooker,18.0,70.0
Jackson Merrill,16.0,59.0
Matt Olson,14.0,63.0
Oneil Cruz,19.0,63.0
Miguel Amaya,15.0,39.0
Jhonkensy Noel,13.0,55.0
Bobby Witt Jr,16.0,72.0
Connor Norby,16.0,58.0
Yordan Alvarez,15.0,53.0
Jazz Chisholm Jr,15.0,44.0
Bryan Reynolds,16.0,65.0
Anthony Volpe,17.0,58.0
Geraldo Perdomo,13.0,58.0
Randal Grichuk,9.0,24.0
Ian Happ,20.0,71.0
Lourdes Gurriel Jr,11.0,46.0
George Springer,10.0,57.0
Addison Barger,15.0,57.0
Elly De La Cruz,17.0,72.0
Tyler Stephenson,17.0,56.0
Teoscar Hernandez,15.0,59.0
Paul Goldschmidt,21.0,58.0
Spencer Torkelson,15.0,57.0
Seth Brown,15.0,57.0
Nico Hoerner,15.0,63.0
Gleyber Torres,18.0,75.0
JJ Bleday,13.0,57.0
Wyatt Langford,11.0,48.0
Jacob Young,16.0,50.0
Kerry Carpenter,12.0,54.0
Taylor Ward,15.0,53.0
Jose Ramirez,14.0,72.0
JT Realmuto,14.0,48.0
Luis Arraez,20.0,60.0
Giancarlo Stanton,11.0,53.0
Christian Bethancourt,7.0,17.0
Freddie Freeman,11.0,46.0
Trevor Larnach,11.0,42.0
Jonny DeLuca,13.0,47.0
Mike Yastrzemski,11.0,49.0
Anthony Santander,14.0,69.0
Ernie Clement,11.0,50.0
Josh Jung,14.0,47.0
Mark Vientos,15.0,55.0
Yainer Diaz,16.0,54.0
Nick Castellanos,12.0,57.0
Lars Nootbaar,17.0,66.0
Zach McKinstry,13.0,32.0
William Contreras,14.0,82.0
Jesus Sanchez,10.0,39.0
Garrett Mitchell,11.0,43.0
Jose Altuve,11.0,56.0
Junior Caminero,14.0,58.0
Brenton Doyle,14.0,57.0
Brendan Donovan,15.0,67.0
Josh Lowe,14.0,59.0
Orlando Arcia,10.0,64.0
Victor Robles,11.0,29.0
Santiago Espinal,16.0,50.0
Rowdy Tellez,14.0,42.0
Jonathan India,14.0,62.0
Riley Greene,11.0,57.0
Colton Cowser,13.0,63.0
Pete Alonso,12.0,63.0
Masyn Winn,21.0,75.0
Lane Thomas,11.0,43.0
Josh Naylor,14.0,70.0
Heliot Ramos,11.0,50.0
Daulton Varsho,13.0,53.0
Nolan Arenado,15.0,67.0
Ramon Urias,9.0,41.0
Mickey Moniak,9.0,31.0
Andres Gimenez,12.0,66.0
Spencer Horwitz,13.0,63.0
Brendan Rodgers,15.0,53.0
Julio Rodriguez,10.0,66.0
Bryson Stott,14.0,56.0
Kyle Schwarber,12.0,70.0
Kyle Stowers,11.0,46.0
Juan Soto,12.0,70.0
Randy Arozarena,11.0,56.0
Cedric Mullins,9.0,45.0
Ezequiel Tovar,13.0,59.0
Brandon Marsh,11.0,55.0
Cody Bellinger,13.0,72.0
Jake Cronenworth,13.0,62.0
Zack Gelof,11.0,53.0
Jake McCarthy,13.0,56.0
