Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,P Pitching Outs,Batter H/PA,Pitcher H/PA,Against H/PA,Batter Pitcher Matchup H/PA
Kyle Schwarber,Bowden Francis,Right,Away,1,Left,5.5,0.18,0.21,0,0.19
Trea Turner,Bowden Francis,Right,Away,2,Right,5.5,0.25,0.22,0.0,0.23
Bryce Harper,Bowden Francis,Right,Away,3,Left,5.5,0.25,0.21,1.0,0.23
Nick Castellanos,Bowden Francis,Right,Away,4,Right,5.5,0.22,0.22,0.0,0.22
Bryson Stott,Bowden Francis,Right,Away,5,Left,5.5,0.23,0.21,0.0,0.22
JT Realmuto,Bowden Francis,Right,Away,6,Right,5.5,0.27,0.22,0,0.24
Brandon Marsh,Bowden Francis,Right,Away,7,Left,5.5,0.21,0.21,0,0.21
Austin Hays,Bowden Francis,Right,Away,8,Right,5.5,0.22,0.22,0.25,0.22
Edmundo Sosa,Bowden Francis,Right,Away,9,Right,5.5,0.21,0.22,0,0.22
George Springer,Cristopher Sanchez,Left,Home,1,Right,6.17,0.17,0.28,0.33,0.23
Daulton Varsho,Cristopher Sanchez,Left,Home,2,Left,6.17,0.25,0.27,0,0.26
Vladimir Guerrero Jr,Cristopher Sanchez,Left,Home,3,Right,6.17,0.31,0.28,0.0,0.29
Alejandro Kirk,Cristopher Sanchez,Left,Home,4,Right,6.17,0.21,0.28,0.33,0.25
Ernie Clement,Cristopher Sanchez,Left,Home,5,Right,6.17,0.23,0.28,0,0.26
Leo Jimenez,Cristopher Sanchez,Left,Home,6,Right,6.17,0.24,0.28,0,0.26
Davis Schneider,Cristopher Sanchez,Left,Home,7,Right,6.17,0.17,0.28,0.0,0.22
Luis De Los Santos,Cristopher Sanchez,Left,Home,8,Right,6.17,0.48,0.28,0,0.38
Brian Serven,Cristopher Sanchez,Left,Home,9,Right,6.17,0.12,0.28,0,0.2
Nicky Lopez,Albert Suarez,Right,Away,1,Left,5.83,0.22,0.21,0.0,0.22
Luis Robert Jr,Albert Suarez,Right,Away,2,Right,5.83,0.2,0.21,0,0.2
Andrew Benintendi,Albert Suarez,Right,Away,3,Left,5.83,0.19,0.21,0.0,0.2
Andrew Vaughn,Albert Suarez,Right,Away,4,Right,5.83,0.19,0.21,0.0,0.19
Gavin Sheets,Albert Suarez,Right,Away,5,Left,5.83,0.24,0.21,0.0,0.22
Korey Lee,Albert Suarez,Right,Away,6,Right,5.83,0.21,0.21,0,0.21
Dominic Fletcher,Albert Suarez,Right,Away,7,Left,5.83,0.2,0.21,0,0.2
Lenyn Sosa,Albert Suarez,Right,Away,8,Right,5.83,0.22,0.21,0,0.21
Jacob Amaya,Albert Suarez,Right,Away,9,Right,5.83,0.24,0.21,0,0.22
Gunnar Henderson,Jonathan Cannon,Right,Home,1,Left,5.5,0.21,0.23,0,0.22
Adley Rutschman,Jonathan Cannon,Right,Home,2,Both,5.5,0.21,0.22,0,0.22
Ryan O'Hearn,Jonathan Cannon,Right,Home,3,Left,5.5,0.22,0.23,0,0.22
Anthony Santander,Jonathan Cannon,Right,Home,4,Both,5.5,0.21,0.22,0,0.22
Colton Cowser,Jonathan Cannon,Right,Home,5,Left,5.5,0.22,0.23,0,0.22
Eloy Jimenez,Jonathan Cannon,Right,Home,6,Right,5.5,0.22,0.21,0,0.22
Cedric Mullins,Jonathan Cannon,Right,Home,7,Left,5.5,0.21,0.23,0,0.22
Jackson Holliday,Jonathan Cannon,Right,Home,8,Left,5.5,0.17,0.23,0,0.2
Emmanuel Rivera,Jonathan Cannon,Right,Home,9,Right,5.5,0.18,0.21,0,0.2
