Batter,Opposing Pitcher,Opposing Team,Throw,Batter Location,Batter Spot,AB,H,XBH,RBI,BB,K,AVG,OBP,SLG,OPS
Kyle Schwarber,Bowden Francis,Blue Jays,Right,Away,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Trea Turner,Bowden Francis,Blue Jays,Right,Away,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Bryce Harper,Bowden Francis,Blue Jays,Right,Away,3,1,1,1,1,0,0,1.0,1.0,4.0,5.0
Nick Castellanos,Bowden Francis,Blue Jays,Right,Away,4,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Bryson Stott,Bowden Francis,Blue Jays,Right,Away,5,1,0,0,0,0,0,0.0,0.0,0.0,0.0
JT Realmuto,Bowden Francis,Blue Jays,Right,Away,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Brandon Marsh,Bowden Francis,Blue Jays,Right,Away,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Austin Hays,Bowden Francis,Blue Jays,Right,Away,8,4,1,1,0,0,1,0.25,0.4,0.5,0.9
Edmundo Sosa,Bowden Francis,Blue Jays,Right,Away,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
George Springer,Cristopher Sanchez,Phillies,Left,Home,1,3,1,0,0,0,0,0.333,0.333,0.333,0.667
Daulton Varsho,Cristopher Sanchez,Phillies,Left,Home,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Vladimir Guerrero Jr,Cristopher Sanchez,Phillies,Left,Home,3,2,0,0,0,1,0,0.0,0.333,0.0,0.333
Alejandro Kirk,Cristopher Sanchez,Phillies,Left,Home,4,3,1,1,0,0,1,0.333,0.333,0.667,1.0
Ernie Clement,Cristopher Sanchez,Phillies,Left,Home,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Leo Jimenez,Cristopher Sanchez,Phillies,Left,Home,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Davis Schneider,Cristopher Sanchez,Phillies,Left,Home,7,3,0,0,0,0,1,0.0,0.0,0.0,0.0
Luis De Los Santos,Cristopher Sanchez,Phillies,Left,Home,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Brian Serven,Cristopher Sanchez,Phillies,Left,Home,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Nicky Lopez,Albert Suarez,Orioles,Right,Away,1,0,0,0,0,1,0,0.0,1.0,0.0,1.0
Luis Robert Jr,Albert Suarez,Orioles,Right,Away,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Andrew Benintendi,Albert Suarez,Orioles,Right,Away,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Andrew Vaughn,Albert Suarez,Orioles,Right,Away,4,2,0,0,0,0,1,0.0,0.0,0.0,0.0
Gavin Sheets,Albert Suarez,Orioles,Right,Away,5,2,0,0,0,0,1,0.0,0.0,0.0,0.0
Korey Lee,Albert Suarez,Orioles,Right,Away,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Dominic Fletcher,Albert Suarez,Orioles,Right,Away,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Lenyn Sosa,Albert Suarez,Orioles,Right,Away,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jacob Amaya,Albert Suarez,Orioles,Right,Away,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Gunnar Henderson,Jonathan Cannon,White Sox,Right,Home,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Adley Rutschman,Jonathan Cannon,White Sox,Right,Home,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ryan O'Hearn,Jonathan Cannon,White Sox,Right,Home,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Anthony Santander,Jonathan Cannon,White Sox,Right,Home,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Colton Cowser,Jonathan Cannon,White Sox,Right,Home,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Eloy Jimenez,Jonathan Cannon,White Sox,Right,Home,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Cedric Mullins,Jonathan Cannon,White Sox,Right,Home,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jackson Holliday,Jonathan Cannon,White Sox,Right,Home,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Emmanuel Rivera,Jonathan Cannon,White Sox,Right,Home,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jose Altuve,Nick Martinez,Reds,Right,Away,1,27,6,4,2,0,0,0.222,0.25,0.444,0.694
Yordan Alvarez,Nick Martinez,Reds,Right,Away,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Alex Bregman,Nick Martinez,Reds,Right,Away,3,12,4,0,1,0,1,0.333,0.333,0.333,0.667
Yainer Diaz,Nick Martinez,Reds,Right,Away,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jon Singleton,Nick Martinez,Reds,Right,Away,5,6,0,0,0,1,3,0.0,0.143,0.0,0.143
Jeremy Pena,Nick Martinez,Reds,Right,Away,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ben Gamel,Nick Martinez,Reds,Right,Away,7,4,0,0,0,0,0,0.0,0.0,0.0,0.0
Mauricio Dubon,Nick Martinez,Reds,Right,Away,8,2,1,0,1,0,0,0.5,0.333,0.5,0.833
Jason Heyward,Nick Martinez,Reds,Right,Away,9,5,1,0,1,0,2,0.2,0.2,0.2,0.4
Jonathan India,Spencer Arrighetti,Astros,Right,Home,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Elly De La Cruz,Spencer Arrighetti,Astros,Right,Home,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Tyler Stephenson,Spencer Arrighetti,Astros,Right,Home,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
TJ Friedl,Spencer Arrighetti,Astros,Right,Home,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Spencer Steer,Spencer Arrighetti,Astros,Right,Home,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ty France,Spencer Arrighetti,Astros,Right,Home,6,3,1,0,0,0,2,0.333,0.333,0.333,0.667
Jake Fraley,Spencer Arrighetti,Astros,Right,Home,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Santiago Espinal,Spencer Arrighetti,Astros,Right,Home,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Amed Rosario,Spencer Arrighetti,Astros,Right,Home,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Dylan Crews,Valente Bellozo,Marlins,Right,Away,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jose Tena,Valente Bellozo,Marlins,Right,Away,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Andres Chaparro,Valente Bellozo,Marlins,Right,Away,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
James Wood,Valente Bellozo,Marlins,Right,Away,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Luis Garcia Jr,Valente Bellozo,Marlins,Right,Away,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Joey Gallo,Valente Bellozo,Marlins,Right,Away,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
CJ Abrams,Valente Bellozo,Marlins,Right,Away,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Keibert Ruiz,Valente Bellozo,Marlins,Right,Away,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jacob Young,Valente Bellozo,Marlins,Right,Away,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Xavier Edwards,MacKenzie Gore,Nationals,Left,Home,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Connor Norby,MacKenzie Gore,Nationals,Left,Home,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jake Burger,MacKenzie Gore,Nationals,Left,Home,3,2,1,1,0,1,0,0.5,0.667,1.0,1.667
Jonah Bride,MacKenzie Gore,Nationals,Left,Home,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Otto Lopez,MacKenzie Gore,Nationals,Left,Home,5,3,0,0,0,0,0,0.0,0.0,0.0,0.0
Cristian Pache,MacKenzie Gore,Nationals,Left,Home,6,6,1,1,1,0,2,0.167,0.167,0.333,0.5
David Hensley,MacKenzie Gore,Nationals,Left,Home,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Kyle Stowers,MacKenzie Gore,Nationals,Left,Home,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Nick Fortes,MacKenzie Gore,Nationals,Left,Home,9,3,1,0,1,0,1,0.333,0.333,0.333,0.667
Jarren Duran,Tylor Megill,Mets,Right,Away,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Wilyer Abreu,Tylor Megill,Mets,Right,Away,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Tyler O'Neill,Tylor Megill,Mets,Right,Away,3,2,1,1,2,0,1,0.5,0.5,1.0,1.5
Rafael Devers,Tylor Megill,Mets,Right,Away,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Triston Casas,Tylor Megill,Mets,Right,Away,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
