Batter,Opposing Team,Batter Location,Batter Spot,AB,H,2B,3B,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Kyle Schwarber,Blue Jays,Away,1,55,17,2,0,9,17,6,22,.309,.371,.836,1.207
Trea Turner,Blue Jays,Away,2,60,18,5,0,0,0,6,12,.300,.364,.383,.747
Bryce Harper,Blue Jays,Away,3,60,22,2,0,5,11,11,17,.367,.465,.650,1.115
Nick Castellanos,Blue Jays,Away,4,92,30,9,0,4,15,4,19,.326,.354,.554,.909
Bryson Stott,Blue Jays,Away,5,36,7,3,1,1,4,2,9,.194,.237,.417,.654
JT Realmuto,Blue Jays,Away,6,53,11,2,0,1,6,5,14,.208,.276,.302,.578
Brandon Marsh,Blue Jays,Away,7,28,7,3,0,0,2,5,8,.250,.364,.357,.721
Austin Hays,Blue Jays,Away,8,70,19,5,0,5,8,5,17,.271,.320,.557,.877
Edmundo Sosa,Blue Jays,Away,9,14,3,0,0,0,1,2,4,.214,.312,.214,.527
George Springer,Phillies,Home,1,57,20,1,0,2,6,6,13,.351,.413,.474,.886
Daulton Varsho,Phillies,Home,2,42,9,0,0,3,6,2,9,.214,.250,.429,.679
Vladimir Guerrero Jr,Phillies,Home,3,42,17,3,0,3,7,7,5,.405,.490,.690,1.180
Alejandro Kirk,Phillies,Home,4,32,7,1,0,0,2,1,4,.219,.242,.250,.492
Ernie Clement,Phillies,Home,5,9,3,0,0,0,1,0,0,.333,.333,.333,.667
Leo Jimenez,Phillies,Home,6,1,1,0,0,1,1,1,0,1.000,1.000,4.000,5.000
Davis Schneider,Phillies,Home,7,7,2,1,0,0,2,1,2,.286,.333,.429,.762
Luis De Los Santos,Phillies,Home,8,0,0,0,0,0,0,0,0,0,0,0,0
Brian Serven,Phillies,Home,9,5,1,0,0,0,0,0,2,.200,.200,.200,.400
Nicky Lopez,Orioles,Away,1,41,14,1,0,0,2,5,7,.341,.413,.366,.779
Luis Robert Jr,Orioles,Away,2,24,6,1,0,0,1,3,6,.250,.333,.292,.625
