Batter,Opposing Team,Batter Location,Batter Spot,Against PA,Against H,T Recent PA,T Recent H
Kyle Schwarber,Blue Jays,Away,1,61,17,206,41
Trea Turner,Blue Jays,Away,2,66,18,206,41
Bryce Harper,Blue Jays,Away,3,71,22,206,41
Nick Castellanos,Blue Jays,Away,4,96,30,206,41
Bryson Stott,Blue Jays,Away,5,38,7,206,41
JT Realmuto,Blue Jays,Away,6,58,11,206,41
Brandon Marsh,Blue Jays,Away,7,33,7,206,41
Austin Hays,Blue Jays,Away,8,75,19,206,41
Edmundo Sosa,Blue Jays,Away,9,16,3,206,41
George Springer,Phillies,Home,1,63,20,237,62
Daulton Varsho,Phillies,Home,2,44,9,237,62
Vladimir Guerrero Jr,Phillies,Home,3,49,17,237,62
Alejandro Kirk,Phillies,Home,4,33,7,237,62
Ernie Clement,Phillies,Home,5,9,3,237,62
Leo Jimenez,Phillies,Home,6,2,1,237,62
Davis Schneider,Phillies,Home,7,8,2,237,62
Luis De Los Santos,Phillies,Home,8,0,0,237,62
Brian Serven,Phillies,Home,9,5,1,237,62
Nicky Lopez,Orioles,Away,1,46,14,243,58
Luis Robert Jr,Orioles,Away,2,27,6,243,58
Andrew Benintendi,Orioles,Away,3,69,13,243,58
Andrew Vaughn,Orioles,Away,4,57,14,243,58
Gavin Sheets,Orioles,Away,5,38,8,243,58
Korey Lee,Orioles,Away,6,24,6,243,58
Dominic Fletcher,Orioles,Away,7,4,0,243,58
Lenyn Sosa,Orioles,Away,8,13,4,243,58
Jacob Amaya,Orioles,Away,9,6,3,243,58
Gunnar Henderson,White Sox,Home,1,21,5,283,71
Adley Rutschman,White Sox,Home,2,24,6,283,71
Ryan O'Hearn,White Sox,Home,3,20,7,283,71
Anthony Santander,White Sox,Home,4,32,10,283,71
Colton Cowser,White Sox,Home,5,14,1,283,71
Eloy Jimenez,White Sox,Home,6,10,3,283,71
Cedric Mullins,White Sox,Home,7,28,7,283,71
Jackson Holliday,White Sox,Home,8,8,0,283,71
Emmanuel Rivera,White Sox,Home,9,16,2,283,71
Jose Altuve,Reds,Away,1,59,11,282,73
Yordan Alvarez,Reds,Away,2,20,5,282,73
Alex Bregman,Reds,Away,3,50,14,282,73
Yainer Diaz,Reds,Away,4,7,3,282,73
Jon Singleton,Reds,Away,5,13,0,282,73
Jeremy Pena,Reds,Away,6,12,2,282,73
Ben Gamel,Reds,Away,7,33,3,282,73
Mauricio Dubon,Reds,Away,8,14,2,282,73
Jason Heyward,Reds,Away,9,42,6,282,73
Jonathan India,Astros,Home,1,22,4,212,36
Elly De La Cruz,Astros,Home,2,15,3,212,36
Tyler Stephenson,Astros,Home,3,24,4,212,36
TJ Friedl,Astros,Home,4,13,3,212,36
Spencer Steer,Astros,Home,5,21,4,212,36
