Date,Away Team,Home Team,Away Team Runs,Home Team Runs,Away Pitcher,Home Pitcher,Away Pitcher I,Home Pitcher I,Away Pitcher ER,Home Pitcher ER,Away Throw,Home Throw,Away ERA,Home ERA
20240328,Angels,Orioles,1,2,Patrick Sandoval,Corbin Burnes,1,1,2,1,Left,Right,5.08,2.38
20240328,Tigers,White Sox,0,0,Tarik Skubal,Garrett Crochet,1,1,0,0,Left,Left,2.34,3.02
20240328,Twins,Royals,1,1,Pablo Lopez,Cole Ragans,1,1,1,1,Right,Left,4.86,3.16
20240328,Yankees,Astros,0,3,Nestor Cortes,Framber Valdez,1,1,3,0,Left,Left,3.99,3.63
20240328,Pirates,Marlins,0,0,Mitch Keller,Jesus Luzardo,1,1,0,0,Right,Left,3.34,5.00
20240328,Giants,Padres,0,0,Logan Webb,Yu Darvish,1,1,0,0,Right,Right,3.59,3.20
20240328,Cardinals,Dodgers,0,2,Miles Mikolas,Tyler Glasnow,1,1,2,0,Right,Right,5.02,3.47
20240328,Blue Jays,Rays,0,1,Jose Berrios,Zach Eflin,1,1,1,0,Right,Right,4.01,4.14
20240328,Nationals,Reds,0,0,Josiah Gray,Frankie Montas,1,1,0,0,Right,Right,14.04,4.85
20240328,Cubs,Rangers,0,0,Justin Steele,Nathan Eovaldi,1,1,0,0,Left,Right,3.07,3.36
20240328,Guardians,Athletics,0,0,Shane Bieber,Alex Wood,1,1,0,0,Right,Left,0.00,5.26
20240328,Red Sox,Mariners,0,0,Brayan Bello,Luis Castillo,1,1,0,0,Right,Right,5.27,3.55
20240328,Rockies,Diamondbacks,0,2,Kyle Freeland,Zac Gallen,1,1,2,0,Left,Right,5.63,3.64
20240329,Brewers,Mets,0,0,Freddy Peralta,Jose Quintana,1,1,0,0,Right,Left,3.88,4.13
20240329,Braves,Phillies,0,0,Spencer Strider,Zack Wheeler,1,1,0,0,Right,Right,7.00,2.70
20240329,Blue Jays,Rays,0,0,Chris Bassitt,Aaron Civale,1,1,0,0,Right,Right,3.71,5.17
20240329,Pirates,Marlins,0,0,Martin Perez,AJ Puk,1,1,0,0,Left,Left,5.61,4.50
20240329,Yankees,Astros,0,1,Carlos Rodon,Cristian Javier,1,1,1,0,Left,Right,4.42,3.89
20240329,Red Sox,Mariners,0,0,Nick Pivetta,George Kirby,1,1,0,0,Right,Right,3.87,3.20
20240329,Guardians,Athletics,3,0,Logan Allen,Ross Stripling,1,1,0,3,Left,Right,5.67,5.82
20240329,Rockies,Diamondbacks,0,2,Cal Quantrill,Merrill Kelly,1,1,2,0,Right,Right,4.15,2.19
20240329,Giants,Padres,3,0,Kyle Harrison,Joe Musgrove,1,1,0,3,Left,Right,3.86,5.66
20240329,Cardinals,Dodgers,0,1,Zack Thompson,Bobby Miller,1,1,1,0,Left,Right,9.53,8.07
20240330,Brewers,Mets,3,0,DL Hall,Luis Severino,1,1,0,3,Left,Right,7.71,3.58
20240330,Tigers,White Sox,3,2,Kenta Maeda,Michael Soroka,1,1,2,3,Right,Right,7.07,5.23
20240330,Angels,Orioles,0,2,Griffin Canning,Grayson Rodriguez,1,1,2,0,Right,Right,5.20,3.83
20240330,Braves,Phillies,2,3,Max Fried,Aaron Nola,0.2,1,3,2,Left,Right,3.08,3.54
20240330,Guardians,Athletics,0,0,Tanner Bibee,JP Sears,1,1,0,0,Right,Left,3.58,4.49
20240330,Twins,Royals,0,0,Joe Ryan,Seth Lugo,1,1,0,0,Right,Right,3.65,2.38
20240330,Pirates,Marlins,0,0,Jared Jones,Ryan Weathers,1,1,0,0,Right,Left,3.56,3.55
20240330,Blue Jays,Rays,0,0,Yusei Kikuchi,Zack Littell,1,1,0,0,Left,Right,4.54,4.46
20240330,Nationals,Reds,0,0,Patrick Corbin,Hunter Greene,1,1,0,0,Left,Right,5.35,3.34
20240330,Cubs,Rangers,0,0,Kyle Hendricks,Cody Bradford,1,1,0,0,Right,Left,6.69,1.40
20240330,Yankees,Astros,0,0,Marcus Stroman,Hunter Brown,1,1,0,0,Right,Right,3.51,4.14
20240330,Giants,Padres,0,0,Jordan Hicks,Dylan Cease,1,1,0,0,Right,Right,3.79,3.76
20240330,Rockies,Diamondbacks,0,2,Austin Gomber,Tommy Henry,1,1,2,0,Left,Left,4.61,7.04
20240330,Cardinals,Dodgers,0,0,Lance Lynn,Yoshinobu Yamamoto,1,1,0,0,Right,Right,4.39,2.92
20240330,Red Sox,Mariners,0,1,Kutter Crawford,Logan Gilbert,1,1,1,0,Right,Right,3.37,2.79
20240331,Angels,Orioles,2,0,Reid Detmers,Tyler Wells,1,1,0,2,Left,Right,6.14,5.87
20240331,Braves,Phillies,2,1,Chris Sale,Ranger Suarez,1,1,1,2,Left,Left,2.70,2.76
20240331,Brewers,Mets,1,0,Colin Rea,Tylor Megill,1,1,0,1,Right,Right,3.77,5.08
20240331,Pirates,Marlins,0,5,Bailey Falter,Trevor Rogers,1,1,5,0,Left,Left,4.08,4.59
20240331,Blue Jays,Rays,2,1,Kevin Gausman,Shawn Armstrong,1,1,1,2,Right,Right,4.55,5.91
20240331,Nationals,Reds,0,0,Jake Irvin,Nick Martinez,1,1,0,0,Right,Right,3.44,3.88
20240331,Tigers,White Sox,0,0,Jack Flaherty,Erick Fedde,1,1,0,0,Right,Right,3.13,2.99
20240331,Twins,Royals,0,3,Bailey Ober,Brady Singer,1,1,3,0,Right,Right,4.14,3.00
20240331,Yankees,Astros,0,0,Clarke Schmidt,JP France,1,1,0,0,Right,Right,2.52,7.46
20240331,Cubs,Rangers,3,0,Jordan Wicks,Jon Gray,1,1,0,3,Left,Right,4.18,3.96
20240331,Guardians,Athletics,0,2,Carlos Carrasco,Paul Blackburn,1,1,2,0,Right,Right,5.32,4.11
20240331,Red Sox,Mariners,0,0,Garrett Whitlock,Bryce Miller,1,1,0,0,Right,Right,1.96,3.63
20240331,Rockies,Diamondbacks,0,3,Ryan Feltner,Brandon Pfaadt,1,1,3,0,Right,Right,5.19,3.74
20240331,Giants,Padres,0,5,Daulton Jefferies,Michael King,1,1,5,0,Right,Right,9.82,3.28
20240331,Cardinals,Dodgers,0,0,Steven Matz,Gavin Stone,1,1,0,0,Left,Right,6.18,3.19
20240401,Braves,White Sox,0,0,Charlie Morton,Chris Flexen,1,1,0,0,Right,Right,3.92,5.22
20240401,Rockies,Cubs,0,0,Dakota Hudson,Shota Imanaga,1,1,0,0,Right,Left,5.84,2.86
20240401,Pirates,Nationals,0,0,Marco Gonzales,MacKenzie Gore,1,1,0,0,Left,Left,2.70,4.20
20240401,Royals,Orioles,0,0,Michael Wacha,Dean Kremer,1,1,0,0,Right,Right,3.55,4.43
20240401,Angels,Marlins,0,4,Chase Silseth,Max Meyer,1,1,4,0,Right,Right,6.75,2.12
20240401,Reds,Phillies,0,2,Andrew Abbott,Cristopher Sanchez,1,1,2,0,Left,Left,3.19,2.97
20240401,Rangers,Rays,3,0,Dane Dunning,Ryan Pepiot,1,1,0,3,Right,Right,4.71,3.92
20240401,Tigers,Mets,0,0,Reese Olson,Sean Manaea,1,1,0,0,Right,Left,3.23,3.73
20240401,Blue Jays,Astros,0,3,Bowden Francis,Ronel Blanco,1,1,3,0,Right,Right,5.82,2.75
20240401,Red Sox,Athletics,1,0,Tanner Houck,Joe Boyle,1,1,0,1,Right,Right,2.54,7.16
20240401,Guardians,Mariners,0,0,Triston McKenzie,Emerson Hancock,1,1,0,0,Right,Right,5.11,4.76
20240401,Yankees,Diamondbacks,0,0,Luis Gil,Ryne Nelson,1,1,0,0,Right,Right,3.17,4.78
20240401,Cardinals,Padres,3,0,Kyle Gibson,Matt Waldron,1,1,0,3,Right,Right,3.99,3.59
20240401,Giants,Dodgers,0,1,Keaton Winn,James Paxton,1,1,1,0,Right,Left,7.16,4.43
20240402,Twins,Brewers,0,0,Louie Varland,Jakob Junis,1,1,0,0,Right,Right,6.58,3.00
20240402,Royals,Orioles,0,0,Alec Marsh,Cole Irvin,1,1,0,0,Right,Left,4.52,4.67
20240402,Angels,Marlins,0,0,Tyler Anderson,Jesus Luzardo,1,1,0,0,Left,Left,2.97,5.00
20240402,Reds,Phillies,0,1,Graham Ashcraft,Spencer Turnbull,1,1,1,0,Right,Right,5.24,2.65
20240402,Rangers,Rays,0,0,Andrew Heaney,Zach Eflin,1,1,0,0,Left,Right,3.60,4.14
20240402,Braves,White Sox,0,0,Reynaldo Lopez,Garrett Crochet,1,1,0,0,Right,Left,1.88,3.02
20240402,Rockies,Cubs,0,2,Kyle Freeland,Javier Assad,1,1,2,0,Left,Right,5.63,3.27
20240402,Blue Jays,Astros,0,0,Jose Berrios,Framber Valdez,1,1,0,0,Right,Left,4.01,3.63
20240402,Red Sox,Athletics,1,0,Brayan Bello,Alex Wood,1,1,0,1,Right,Left,5.27,5.26
20240402,Guardians,Mariners,0,0,Shane Bieber,Luis Castillo,1,1,0,0,Right,Right,0.00,3.55
20240402,Yankees,Diamondbacks,0,3,Nestor Cortes,Zac Gallen,1,1,3,0,Left,Right,3.99,3.64
20240402,Cardinals,Padres,0,0,Miles Mikolas,Yu Darvish,1,1,0,0,Right,Right,5.02,3.20
20240402,Giants,Dodgers,0,1,Logan Webb,Ryan Brasier,1,1,1,0,Right,Right,3.59,4.63
20240403,Royals,Orioles,1,0,Cole Ragans,Corbin Burnes,1,1,0,1,Left,Right,3.16,2.38
20240403,Angels,Marlins,2,0,Patrick Sandoval,AJ Puk,1,1,0,2,Left,Left,5.08,4.50
20240403,Twins,Brewers,0,0,Chris Paddack,Joe Ross,1,1,0,0,Right,Right,4.99,4.50
20240403,Rangers,Rays,0,0,Nathan Eovaldi,Aaron Civale,1,1,0,0,Right,Right,3.36,5.17
20240403,Red Sox,Athletics,0,0,Nick Pivetta,Ross Stripling,1,1,0,0,Right,Right,3.87,5.82
20240403,Yankees,Diamondbacks,0,0,Carlos Rodon,Merrill Kelly,1,1,0,0,Left,Right,4.42,2.19
20240403,Reds,Phillies,0,0,Frankie Montas,Zack Wheeler,1,1,0,0,Right,Right,4.85,2.70
20240403,Guardians,Mariners,3,0,Logan Allen,George Kirby,1,1,0,3,Left,Right,5.67,3.20
20240403,Cardinals,Padres,0,1,Zack Thompson,Joe Musgrove,1,1,1,0,Left,Right,9.53,5.66
20240403,Pirates,Nationals,0,0,Mitch Keller,Trevor Williams,1,1,0,0,Right,Right,3.34,2.22
20240403,Rockies,Cubs,0,0,Cal Quantrill,Luke Little,1,1,0,0,Right,Left,4.15,3.46
20240403,Blue Jays,Astros,0,0,Chris Bassitt,Cristian Javier,1,1,0,0,Right,Right,3.71,3.89
20240403,Giants,Dodgers,0,0,Kyle Harrison,Tyler Glasnow,1,1,0,0,Left,Right,3.86,3.47
20240404,Tigers,Mets,0,0,Casey Mize,Adrian Houser,1,1,0,0,Right,Right,4.23,5.80
20240404,Pirates,Nationals,4,0,Martin Perez,Josiah Gray,1,1,0,4,Left,Right,5.61,14.04
20240404,Guardians,Twins,0,0,Tanner Bibee,Pablo Lopez,1,1,0,0,Right,Right,3.58,4.86
20240404,Marlins,Cardinals,0,0,Ryan Weathers,Lance Lynn,1,1,0,0,Left,Right,3.55,4.39
20240404,Tigers,Mets,0,0,Matt Manning,Jose Butto,1,1,0,0,Right,Right,4.88,2.51
20240404,White Sox,Royals,0,0,Michael Soroka,Seth Lugo,1,1,0,0,Right,Right,5.23,2.38
20240405,Blue Jays,Yankees,0,0,Yusei Kikuchi,Marcus Stroman,1,1,0,0,Left,Right,4.54,3.51
20240405,Athletics,Tigers,0,0,JP Sears,Tarik Skubal,1,1,0,0,Left,Left,4.49,2.34
20240405,Dodgers,Cubs,2,0,Bobby Miller,Kyle Hendricks,1,1,0,2,Right,Right,8.07,6.69
20240405,Rays,Rockies,1,1,Zack Littell,Austin Gomber,1,1,1,1,Right,Left,4.46,4.61
20240405,Orioles,Pirates,0,0,Grayson Rodriguez,Jared Jones,1,1,0,0,Right,Right,3.83,3.56
20240405,Padres,Giants,1,1,Dylan Cease,Jordan Hicks,1,1,1,1,Right,Right,3.76,3.79
20240405,Mets,Reds,0,1,Jose Quintana,Hunter Greene,1,1,1,0,Left,Right,4.13,3.34
20240405,Phillies,Nationals,0,0,Aaron Nola,Patrick Corbin,1,1,0,0,Right,Left,3.54,5.35
20240405,Diamondbacks,Braves,3,1,Tommy Henry,Spencer Strider,1,1,1,3,Left,Right,7.04,7.00
20240405,White Sox,Royals,0,1,Erick Fedde,Brady Singer,1,1,1,0,Right,Right,2.99,3.00
20240405,Astros,Rangers,0,0,Hunter Brown,Cody Bradford,1,1,0,0,Right,Left,4.14,1.40
20240405,Mariners,Brewers,0,0,Logan Gilbert,Freddy Peralta,1,1,0,0,Right,Right,2.79,3.88
20240405,Red Sox,Angels,0,0,Kutter Crawford,Griffin Canning,1,1,0,0,Right,Right,3.37,5.20
20240406,Athletics,Tigers,2,0,Paul Blackburn,Kenta Maeda,1,1,0,2,Right,Right,4.11,7.07
20240406,Guardians,Twins,0,1,Carlos Carrasco,Joe Ryan,1,1,1,0,Right,Right,5.32,3.65
20240406,Marlins,Cardinals,0,0,Trevor Rogers,Steven Matz,1,1,0,0,Left,Left,4.59,6.18
20240406,Orioles,Pirates,0,0,Tyler Wells,Bailey Falter,1,1,0,0,Right,Left,5.87,4.08
20240406,Dodgers,Cubs,0,0,Yoshinobu Yamamoto,Jordan Wicks,1,1,0,0,Right,Left,2.92,4.18
20240406,Phillies,Nationals,0,0,Ranger Suarez,Jake Irvin,1,1,0,0,Left,Right,2.76,3.44
20240406,Mets,Reds,0,0,Luis Severino,Nick Martinez,1,1,0,0,Right,Right,3.58,3.88
20240406,Astros,Rangers,0,0,JP France,Jon Gray,1,1,0,0,Right,Right,7.46,3.96
20240406,Blue Jays,Yankees,0,3,Kevin Gausman,Clarke Schmidt,1,1,3,0,Right,Right,4.55,2.52
20240406,White Sox,Royals,0,0,Chris Flexen,Michael Wacha,1,1,0,0,Right,Right,5.22,3.55
20240406,Mariners,Brewers,0,0,Bryce Miller,DL Hall,1,1,0,0,Right,Left,3.63,7.71
20240406,Diamondbacks,Braves,6,0,Brandon Pfaadt,Max Fried,1,1,0,6,Right,Left,3.74,3.08
20240406,Rays,Rockies,1,0,Tyler Alexander,Ryan Feltner,1,1,0,1,Left,Right,6.19,5.19
20240406,Padres,Giants,4,0,Michael King,Keaton Winn,1,1,0,4,Right,Right,3.28,7.16
20240406,Red Sox,Angels,0,0,Garrett Whitlock,Reid Detmers,1,1,0,0,Right,Left,1.96,6.14
20240407,Diamondbacks,Braves,0,0,Ryne Nelson,Chris Sale,1,1,0,0,Right,Left,4.78,2.70
20240407,Orioles,Pirates,0,0,Dean Kremer,Marco Gonzales,1,1,0,0,Right,Left,4.43,2.70
20240407,Phillies,Nationals,0,0,Cristopher Sanchez,MacKenzie Gore,1,1,0,0,Left,Left,2.97,4.20
20240407,Blue Jays,Yankees,0,0,Bowden Francis,Luis Gil,1,1,0,0,Right,Right,5.82,3.17
20240407,Mets,Reds,1,0,Sean Manaea,Andrew Abbott,1,1,0,1,Left,Left,3.73,3.19
20240407,Athletics,Tigers,2,0,Joe Boyle,Jack Flaherty,1,1,0,2,Right,Right,7.16,3.13
20240407,White Sox,Royals,0,0,Garrett Crochet,Alec Marsh,1,1,0,0,Left,Right,3.02,4.52
20240407,Mariners,Brewers,1,3,Emerson Hancock,Colin Rea,1,1,3,1,Right,Right,4.76,3.77
20240407,Marlins,Cardinals,6,0,Max Meyer,Kyle Gibson,1,1,0,6,Right,Right,2.12,3.99
20240407,Dodgers,Cubs,0,3,Gavin Stone,Shota Imanaga,1,1,3,0,Right,Left,3.19,2.86
20240407,Rays,Rockies,0,0,Ryan Pepiot,Dakota Hudson,1,1,0,0,Right,Right,3.92,5.84
20240407,Padres,Giants,1,0,Matt Waldron,Logan Webb,1,1,0,1,Right,Right,3.59,3.59
20240407,Red Sox,Angels,0,0,Tanner Houck,Chase Silseth,1,1,0,0,Right,Right,2.54,6.75
20240407,Astros,Rangers,0,0,Ronel Blanco,Dane Dunning,1,1,0,0,Right,Right,2.75,4.71
20240408,White Sox,Guardians,0,0,Tanner Banks,Triston McKenzie,1,1,0,0,Left,Right,4.23,5.11
20240408,Marlins,Yankees,0,0,Jesus Luzardo,Nestor Cortes,1,1,0,0,Left,Left,5.00,3.99
20240408,Tigers,Pirates,1,0,Reese Olson,Mitch Keller,1,1,0,1,Right,Right,3.23,3.34
20240408,Brewers,Reds,0,0,Aaron Ashby,Graham Ashcraft,1,1,0,0,Left,Right,6.23,5.24
20240408,Mariners,Blue Jays,0,0,Luis Castillo,Jose Berrios,1,1,0,0,Right,Right,3.55,4.01
20240408,Mets,Braves,0,0,Julio Teheran,Charlie Morton,1,1,0,0,Right,Right,13.50,3.92
20240408,Dodgers,Twins,1,0,James Paxton,Bailey Ober,1,1,0,1,Left,Right,4.43,4.14
20240408,Phillies,Cardinals,0,0,Spencer Turnbull,Miles Mikolas,1,1,0,0,Right,Right,2.65,5.02
20240408,Astros,Rangers,2,5,Blair Henley,Andrew Heaney,0.1,1,5,2,Right,Left,135.00,3.60
20240408,Diamondbacks,Rockies,0,1,Zac Gallen,Kyle Freeland,1,1,1,0,Right,Left,3.64,5.63
20240408,Rays,Angels,0,2,Zach Eflin,Tyler Anderson,1,1,2,0,Right,Left,4.14,2.97
20240408,Cubs,Padres,0,0,Javier Assad,Yu Darvish,1,1,0,0,Right,Right,3.27,3.20
20240408,Nationals,Giants,0,1,Trevor Williams,Blake Snell,1,1,1,0,Right,Left,2.22,6.31
20240409,Tigers,Pirates,1,0,Casey Mize,Martin Perez,1,1,0,1,Right,Left,4.23,5.61
20240409,Orioles,Red Sox,0,1,Corbin Burnes,Brayan Bello,1,1,1,0,Right,Right,2.38,5.27
20240409,White Sox,Guardians,5,2,Michael Soroka,Logan Allen,1,1,2,5,Right,Left,5.23,5.67
20240409,Brewers,Reds,0,0,Joe Ross,Frankie Montas,1,1,0,0,Right,Right,4.50,4.85
20240409,Marlins,Yankees,0,0,AJ Puk,Carlos Rodon,1,1,0,0,Left,Left,4.50,4.42
20240409,Mariners,Blue Jays,0,0,George Kirby,Chris Bassitt,1,1,0,0,Right,Right,3.20,3.71
20240409,Mets,Braves,0,1,Adrian Houser,Reynaldo Lopez,1,1,1,0,Right,Right,5.80,1.88
20240409,Astros,Royals,1,0,Cristian Javier,Cole Ragans,1,1,0,1,Right,Left,3.89,3.16
20240409,Dodgers,Twins,0,0,Tyler Glasnow,Louie Varland,1,1,0,0,Right,Right,3.47,6.58
20240409,Phillies,Cardinals,0,0,Zack Wheeler,Sonny Gray,1,1,0,0,Right,Right,2.70,3.54
20240409,Athletics,Rangers,0,1,Alex Wood,Nathan Eovaldi,1,1,1,0,Left,Right,5.26,3.36
20240409,Diamondbacks,Rockies,2,1,Merrill Kelly,Cal Quantrill,1,1,1,2,Right,Right,2.19,4.15
20240409,Rays,Angels,0,2,Aaron Civale,Patrick Sandoval,1,1,2,0,Right,Left,5.17,5.08
20240409,Nationals,Giants,0,0,Joan Adon,Kyle Harrison,1,1,0,0,Right,Left,5.40,3.86
20240409,Cubs,Padres,0,0,Ben Brown,Joe Musgrove,1,1,0,0,Right,Right,3.58,5.66
20240410,Dodgers,Twins,1,1,Bobby Miller,Chris Paddack,1,1,1,1,Right,Right,8.07,4.99
20240410,Phillies,Cardinals,2,0,Aaron Nola,Lance Lynn,1,1,0,2,Right,Right,3.54,4.39
20240410,Mariners,Blue Jays,0,0,Logan Gilbert,Yusei Kikuchi,1,1,0,0,Right,Left,2.79,4.54
20240410,Diamondbacks,Rockies,1,1,Tommy Henry,Austin Gomber,1,1,1,1,Left,Left,7.04,4.61
20240410,Nationals,Giants,0,0,Patrick Corbin,Jordan Hicks,1,1,0,0,Left,Right,5.35,3.79
20240410,Rays,Angels,3,0,Zack Littell,Jose Soriano,1,1,0,3,Right,Right,4.46,3.71
20240410,White Sox,Guardians,2,0,Erick Fedde,Tanner Bibee,1,1,0,2,Right,Right,2.99,3.58
20240410,Cubs,Padres,0,0,Kyle Hendricks,Dylan Cease,1,1,0,0,Right,Right,6.69,3.76
20240410,Brewers,Reds,2,0,Wade Miley,Hunter Greene,1,1,0,2,Left,Right,6.43,3.34
20240410,Marlins,Yankees,0,0,Ryan Weathers,Marcus Stroman,1,1,0,0,Left,Right,3.55,3.51
20240410,Orioles,Red Sox,0,0,Cole Irvin,Kutter Crawford,1,1,0,0,Left,Right,4.67,3.37
20240410,Astros,Royals,0,0,Spencer Arrighetti,Seth Lugo,1,1,0,0,Right,Right,5.63,2.38
20240410,Athletics,Rangers,1,3,Ross Stripling,Cody Bradford,1,1,3,1,Right,Left,5.82,1.40
