Team,Player Name,Player Link
Chicago White Sox,Justin Anderson,https://www.espn.com/mlb/player/_/id/37611
Chicago White Sox,Tanner Banks,https://www.espn.com/mlb/player/_/id/40437
Chicago White Sox,John Brebbia,https://www.espn.com/mlb/player/_/id/39085
Chicago White Sox,Jonathan Cannon,https://www.espn.com/mlb/player/_/id/4620398
Chicago White Sox,Garrett Crochet,https://www.espn.com/mlb/player/_/id/4297835
Chicago White Sox,Erick Fedde,https://www.espn.com/mlb/player/_/id/33793
Chicago White Sox,Chris Flexen,https://www.espn.com/mlb/player/_/id/36067
Chicago White Sox,Michael Kopech,https://www.espn.com/mlb/player/_/id/33763
Chicago White Sox,Chad Kuhl,https://www.espn.com/mlb/player/_/id/35021
Chicago White Sox,Sammy Peralta,https://www.espn.com/mlb/player/_/id/4991148
Chicago White Sox,Jared Shuster,https://www.espn.com/mlb/player/_/id/4623366
Chicago White Sox,Drew Thorpe,https://www.espn.com/mlb/player/_/id/4629086
Chicago White Sox,Steven Wilson,https://www.espn.com/mlb/player/_/id/41828
Chicago White Sox,Korey Lee,https://www.espn.com/mlb/player/_/id/4418346
Chicago White Sox,Chuckie Robinson,https://www.espn.com/mlb/player/_/id/40354
Chicago White Sox,Brooks Baldwin,https://www.espn.com/mlb/player/_/id/4424742
Kansas City Royals,Paul DeJong,https://www.espn.com/mlb/player/_/id/35185
Chicago White Sox,Nicky Lopez,https://www.espn.com/mlb/player/_/id/38106
Chicago White Sox,Nick Senzel,https://www.espn.com/mlb/player/_/id/36180
Chicago White Sox,Andrew Vaughn,https://www.espn.com/mlb/player/_/id/42394
Chicago White Sox,Andrew Benintendi,https://www.espn.com/mlb/player/_/id/34986
Chicago White Sox,Corey Julks,https://www.espn.com/mlb/player/_/id/41526
Kansas City Royals,Tommy Pham,https://www.espn.com/mlb/player/_/id/31208
Chicago White Sox,Luis Robert Jr,https://www.espn.com/mlb/player/_/id/39631
Chicago White Sox,Gavin Sheets,https://www.espn.com/mlb/player/_/id/40700
Baltimore Orioles,Eloy Jimenez,https://www.espn.com/mlb/player/_/id/33867
Cleveland Guardians,Pedro Avila,https://www.espn.com/mlb/player/_/id/39740
Cleveland Guardians,Scott Barlow,https://www.espn.com/mlb/player/_/id/32156
Cleveland Guardians,Tanner Bibee,https://www.espn.com/mlb/player/_/id/4345278
Cleveland Guardians,Carlos Carrasco,https://www.espn.com/mlb/player/_/id/28968
Cleveland Guardians,Emmanuel Clase,https://www.espn.com/mlb/player/_/id/41743
Cleveland Guardians,Xzavion Curry,https://www.espn.com/mlb/player/_/id/4204524
Cleveland Guardians,Hunter Gaddis,https://www.espn.com/mlb/player/_/id/4187661
Cleveland Guardians,Tim Herrin,https://www.espn.com/mlb/player/_/id/4228579
Cleveland Guardians,Ben Lively,https://www.espn.com/mlb/player/_/id/33194
Cleveland Guardians,Nick Sandlin,https://www.espn.com/mlb/player/_/id/41385
Cleveland Guardians,Cade Smith,https://www.espn.com/mlb/player/_/id/4987924
Cleveland Guardians,Peter Strzelecki,https://www.espn.com/mlb/player/_/id/4012625
Cleveland Guardians,Gavin Williams,https://www.espn.com/mlb/player/_/id/4345076
Cleveland Guardians,David Fry,https://www.espn.com/mlb/player/_/id/41672
Cleveland Guardians,Austin Hedges,https://www.espn.com/mlb/player/_/id/32168
Cleveland Guardians,Bo Naylor,https://www.espn.com/mlb/player/_/id/41183
Cleveland Guardians,Andres Gimenez,https://www.espn.com/mlb/player/_/id/37729
Cleveland Guardians,Angel Martinez,https://www.espn.com/mlb/player/_/id/42497
Cleveland Guardians,Josh Naylor,https://www.espn.com/mlb/player/_/id/35066
Cleveland Guardians,Jose Ramirez,https://www.espn.com/mlb/player/_/id/32801
Cleveland Guardians,Brayan Rocchio,https://www.espn.com/mlb/player/_/id/41217
Cleveland Guardians,Will Brennan,https://www.espn.com/mlb/player/_/id/4088296
Cleveland Guardians,Tyler Freeman,https://www.espn.com/mlb/player/_/id/40958
Cleveland Guardians,Steven Kwan,https://www.espn.com/mlb/player/_/id/41996
Cleveland Guardians,Jhonkensy Noel,https://www.espn.com/mlb/player/_/id/42548
Cleveland Guardians,Daniel Schneemann,https://www.espn.com/mlb/player/_/id/42001
Detroit Tigers,Beau Brieske,https://www.espn.com/mlb/player/_/id/4917779
Detroit Tigers,Andrew Chafin,https://www.espn.com/mlb/player/_/id/32810
Detroit Tigers,Alex Faedo,https://www.espn.com/mlb/player/_/id/39901
Detroit Tigers,Jack Flaherty,https://www.espn.com/mlb/player/_/id/33837
Detroit Tigers,Jason Foley,https://www.espn.com/mlb/player/_/id/42698
Detroit Tigers,Tyler Holton,https://www.espn.com/mlb/player/_/id/3983833
Detroit Tigers,Easton Lucas,https://www.espn.com/mlb/player/_/id/4993411
Detroit Tigers,Kenta Maeda,https://www.espn.com/mlb/player/_/id/34892
